incluir_en_catalogo_final,bloque_tematico,subtema,nombre_capa,descripcion,tags,proveedor,tipo_acceso,url_endpoint,cobertura_geografica,cobertura_codigo,disponibilidad_municipal,campo_filtro,coste,requiere_registro,formato_datos,tematica_inspire,notas_limitaciones,capabilities,pts_tematica,pts_cobertura,pts_fuente,pts_tecnica,total_pts,prioridad_app,justificacion_prioridad,estado_revision,referencia,,,,,,,,
si,Agricultura,Información agroclimática,Necesidades de riego,,,MAPA,WMS,https://wms.mapama.gob.es/sig/desarrollorural/InfoAgroclimatica/NecesidadesRiego,Nacional,,BBOX,,Gratuita,No,WMS,Meteorological geographical features - MF,Visualización de necesidades de riego derivadas de balances hídricos agroclimáticos. Útil municipal para planificación hídrica agrícola. Limitación: resolución limitada por interpolación a partir de estaciones.,https://wms.mapama.gob.es/sig/desarrollorural/InfoAgroclimatica/NecesidadesRiego?request=GetCapabilities&service=WMS,1,2,2,1,6,P1 - Alta,Útil para planificación hídrica agraria.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Regadíos,Obras de Regadío (2008-2022),,,MAPA,WMS,https://wms.mapama.gob.es/sig/desarrollorural/Regadios/obras,Nacional,,BBOX,,Gratuita,No,WMS,Utility and Governmental Services - US,"Visualización y consulta de obras de modernización de regadíos desde el inicio del Plan Nacional de Regadíos H-2008 hasta septiembre de 2022 con el objetivo de conocer su ubicación, superficie y estado. Útil municipal para identificar inversiones en infraestructura de regadío. Limitación: solo obras del PNR.",https://wms.mapama.gob.es/sig/desarrollorural/Regadios/obras?request=GetCapabilities&service=WMS,1,2,2,1,6,P1 - Alta,Útil para municipios agrarios; WMS visual.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Usos del suelo agrícola,Usos del suelo en regadío,,,MAPA,WMS,https://wms.mapama.gob.es/sig/desarrollorural/InfoAgroclimatica/usosueloregadio,Nacional,,BBOX,,Gratuita,No,WMS,Land Use - LU,Visualización de los usos de suelo bajo regadío a nivel nacional. Útil municipal para diagnóstico del regadío y planificación agraria local. Hay zonas sin datos ,https://wmts.mapama.gob.es/sig/desarrollorural/usos_suelo_regadio/ows?request=getcapabilities&service=wms,1,2,2,1,6,P1 - Alta,Útil para diagnóstico de regadío; posibles zonas sin datos.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Variables agroclimáticas,Caracterización Agroclimática,,,MAPA ,WMS,https://wms.mapama.gob.es/sig/Agricultura/CaractAgroClimaticas,Nacional,,BBOX,,Gratuita,No,WMS,Meteorological geographical features - MF,"Visualización y consulta de variables agroclimáticas (Aridez	 Pluviometría	 Evapotranspiración	 Factor de Erosión	 Tª máxima	 etc.) producidas por interpolación geoestadística (kriging) a partir de estaciones AEMET)",https://wms.mapama.gob.es/sig/Agricultura/CaractAgroClimaticas?request=GetCapabilities&service=WMS,1,2,2,1,6,P1 - Alta,Útil para diagnóstico agroclimático municipal; WMS visual.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Vinos,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDVinos,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas DOP/IGP de Vinos. Útil municipal para identificar pertenencia a denominaciones de origen vinícolas. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDVinos?request=GetCapabilities&service=WMS,1,1,2,1,5,P1 - Alta,Útil en muchos municipios por denominaciones vinícolas.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Comarcalización agraria,Comarcas Agrarias,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Agricultura/ComarcasAgrarias,Nacional,,BBOX,,Gratuita,No,WMS,Agricultural and Aquaculture Facilities - AF,Delimitación de comarcas agrarias a nivel nacional. Útil como capa de contexto territorial supramunicipal para análisis agrarios. No aporta detalle a escala municipal pero permite ubicar el municipio en su comarca agraria.,https://wms.mapama.gob.es/sig/Agricultura/ComarcasAgrarias?request=GetCapabilities&service=WMS,1,1,2,1,5,P1 - Alta,Contexto supramunicipal agrario.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Regadíos,Zonas Regables de Interés Nacional,,,MAPA,WMS,https://wms.mapama.gob.es/sig/DesarrolloRural/Regadios/ZIN,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,"Visualización y consulta de zonas regables declaradas de interés nacional. Útil municipal para identificar superficie regable bajo planes estatales. Limitación: solo zonas de interés nacional,  no incluye regadíos privados.",https://wms.mapama.gob.es/sig/DesarrolloRural/Regadios/ZIN?request=GetCapabilities&service=WMS,1,1,2,1,5,P1 - Alta,Cobertura efectiva parcial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Usos del suelo agrícola,Mapa de cultivos (1980-1990),,,MAPA,WMS,https://wms.mapama.gob.es/sig/Agricultura/MapaCultivos1980-1990,Nacional,,BBOX,,Gratuita,No,WMS,Land Use - LU,Cartografía histórica de cultivos y aprovechamientos del suelo a nivel nacional. Visible a partir de escala 1:50.000. Utilidad municipal: análisis evolutivo de usos agrícolas históricos. Limitación: dato antiguo no representa la situación actual.,https://wms.mapama.gob.es/sig/Agricultura/MapaCultivos1980-1990?request=GetCapabilities&service=WMS,0,2,2,1,5,DESC - Descartada,Dato histórico obsoleto; riesgo si se usa como dato operativo actual.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Usos del suelo agrícola,Mapa de cultivos (2000-2010),,,MAPA,WMS,https://wms.mapama.gob.es/sig/Agricultura/MapaCultivos2000-2010,Nacional,,BBOX,,Gratuita,No,WMS,Land Use - LU,"Cartografía a nivel nacional sobre usos y aprovechamientos del suelo  actualización del MCA1980-1990, donde se delimitan y describen cultivos y aprovechamientos mediante códigos agrupados en usos y sobrecargas. Visible desde 1:50.000. Útil municipal para diagnóstico agrario; limitación: datos hasta 2010.",https://wms.mapama.gob.es/sig/Agricultura/MapaCultivos2000-2010?request=GetCapabilities&service=WMS,0,2,2,1,5,DESC - Descartada,Dato antiguo/incompleto para uso operativo actual.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Aceites de Oliva Virgen,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDAceiteOliva,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas de la familia de productos Aceites de Oliva Virgen amparadas por DOP e IGP. Útil municipal para identificar pertenencia a DOP/IGP de aceite. Limitación: cobertura solo zonas donde el cultivo es pertinente,https://wms.mapama.gob.es/sig/Alimentacion/CDAceiteOliva?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial; útil solo en zonas/productos amparados.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Aceitunas,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDAceitunas,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas de la familia de productos Aceitunas amparadas por DOP e IGP. Útil municipal para identificar pertenencia a DOP/IGP de aceitunas. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDAceitunas?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial; cobertura efectiva parcial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Arroces y Otros Cereales,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDArroces,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas DOP/IGP de Arroces y Otros Cereales. Útil municipal para identificar pertenencia a figuras de calidad. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDArroces?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial; útil en municipios concretos.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Bebidas Espirituosas,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDBebidasEspirituosas,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas DOP/IGP de Bebidas Espirituosas. Útil municipal para identificar pertenencia a IG protegidas. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDBebidasEspirituosas?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial; cobertura efectiva parcial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Carnes Frescas,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDCarnesFrescas,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas DOP/IGP de Carnes Frescas. Útil municipal para identificar pertenencia a figuras de calidad. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDCarnesFrescas?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Condimentos y Especias,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDCondimentosEspecias,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de las zonas geográficas disponibles para la familia de productos Condimentos y Especias amparadas por DOP e IGP. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDCondimentosEspecias?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Embutidos y Productos Cárnicos,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDEmbutidos,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas DOP/IGP de Embutidos y Productos Cárnicos. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDEmbutidos?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Frutas,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDFrutas,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas DOP/IGP de Frutas. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDFrutas?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Hortalizas y Verduras,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDHortalizas,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de las zonas geográficas disponibles para la familia de productos Hortalizas amparadas por DOP e IGP. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDHortalizas?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Jamones,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDJamones,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de las zonas geográficas disponibles para la familia de productos Jamones amparadas por DOP e IGP. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDJamones?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Legumbres,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDLegumbres,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de las zonas geográficas disponibles para la familia de productos Legumbres amparadas por DOP e IGP. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDLegumbres?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Mieles,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDMieles,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas DOP/IGP de Mieles. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDMieles?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Pescados Moluscos y Crustáceos,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDPescado,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de zonas geográficas DOP/IGP de Pescados Moluscos y Crustáceos. Útil municipal en zonas costeras para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDPescado?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial; especialmente municipios costeros.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Productos de Panadería Pastelería Repostería,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDPanaderia,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,"Visualización y consulta de zonas geográficas DOP/IGP de Productos de Panadería, Pastelería y Repostería. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.",https://wms.mapama.gob.es/sig/Alimentacion/CDPanaderia?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial; registro incompleto en origen.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Quesos y Mantequillas,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDQuesos,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de las zonas geográficas disponibles para la familia de productos Quesos y Mantequillas amparadas por DOP e IGP. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDQuesos?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Sidra,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDSidra,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de las zonas geográficas disponibles para la familia de productos Sidra amparadas por DOP e IGP. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDSidra?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Calidad diferenciada DOP/IGP,Zonas de Calidad Diferenciada - Vinagres,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Alimentacion/CDVinagres,Nacional,,BBOX,,Gratuita,No,WMS,Area Management/Restriction/Regulation Zones - AM,Visualización y consulta de las zonas geográficas disponibles para la familia de productos Vinagres amparadas por DOP e IGP. Útil municipal para identificar pertenencia. Limitación: cobertura solo zonas amparadas.,https://wms.mapama.gob.es/sig/Alimentacion/CDVinagres?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Sectorial.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Agricultura,Vías pecuarias,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,
si,Cartografia base e imagenes,Base topográfica ,Base Topográfica Nacional,,,IGN / CNIG,XYZ,https://www.ign.es/wmts/primera-edicion-mtn,Nacional,,BBOX,,Gratuita,No,PBF,No aplica estrictamente / cartografía histórica,Útil para análisis histórico-territorial y comparación con cartografía actual. No es fuente municipal directa.,na,2,2,2,2,8,P0 - MVP,"Base oficial esencial, integrable como teselas.",Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Cartografía raster,Cartografía Ráster de España del IGN,,,IGN / CNIG,WMTS,https://www.ign.es/wmts/mapa-raster,Nacional ,,BBOX,,Gratuita,No,Imagen teselada / WMS,Base cartográfica,Muy útil como capa base general para carga más rápida,https://www.ign.es/wmts/mapa-raster?request=GetCapabilities&service=WMTS,2,2,2,2,8,P0 - MVP,Base cartográfica oficial teselada.,Revisada,Infraestructuras de Datos Espaciales - Instituto Geográfico Nacional,,,,,,,,
si,Cartografia base e imagenes,Cartografía raster,Cartografía Ráster de España del IGN,,,IGN / CNIG,XYZ,https://tms-mapa-raster.ign.es/1.0.0/mapa-raster/{z}/{x}/{-y}.jpeg,Nacional ,,BBOX,,Gratuita,No,JPEG,Base cartográfica,Muy útil como capa base general para carga más rápida,na,2,2,2,2,8,P0 - MVP,Muy fácil de integrar como capa base.,Revisada,Infraestructuras de Datos Espaciales - Instituto Geográfico Nacional,,,,,,,,
si,Cartografia base e imagenes,Mapa base completo,Mapa Base de España - IGNBaseTodo,,,IGN / CNIG / IDEE,XYZ raster tiles,https://tms-ign-base.idee.es/1.0.0/IGNBaseTodo/{z}/{x}/{-y}.jpeg,Nacional,,BBOX,,Gratuita,No,JPEG,Nombres geográficos; unidades administrativas; redes de transporte; hidrografía; elevación,Mapa base ráster completo para visualización; usa coordenada {-y}; requiere cliente compatible con TMS/XYZ invertido; atribución IGN-CNIG/IDEE obligatoria,na,2,2,2,2,8,P0 - MVP,Capa base oficial esencial.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign | https://www.ign.es/web/ign/portal/politica-datos,,,,,,,,
si,Cartografia base e imagenes,Mapa base con ortofoto,Mapa Base de España - IGNBaseOrto,,,IGN / CNIG / IDEE,XYZ/TMS raster tiles,https://tms-ign-base.idee.es/1.0.0/IGNBaseOrto/{z}/{x}/{-y}.png,Nacional,,BBOX,,Gratuita,No,PNG,Ortoimágenes; nombres geográficos; redes de transporte; unidades administrativas,Mapa base ráster orientado a visualización sobre ortofoto; usa coordenada {-y}; requiere cliente compatible con TMS/XYZ invertido; atribución IGN-CNIG/IDEE obligatoria,na,2,2,2,2,8,P0 - MVP,Base oficial con ortofoto.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign | https://www.ign.es/web/ign/portal/politica-datos,,,,,,,,
